Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0895989974f5b3226178459e44b0519fbebb08520e2eaf1348e9ee43b92d4477,2023-07,Lincolnshire Police,Lincolnshire Police,-0.774275,53.393014,On or near King Street East,E01026383,West Lindsey 004E,Unable to prosecute suspect
b545ab3bb62f0af613f97e3febc8b0df048fd17edf1b98a6d7fd80731c98961b,2023-07,Lincolnshire Police,Lincolnshire Police,-0.383604,52.771207,On or near Tarragon Way,E01026299,South Kesteven 010A,Investigation complete; no suspect identified
166110e5fade31854524beaa2324251594da4e7e451c0f75fa802350d3e7d990,2023-07,Lincolnshire Police,Lincolnshire Police,0.255598,53.339409,On or near Supermarket,E01026073,East Lindsey 005B,Unable to prosecute suspect
e1f844852955750a014d44c3bef2ae9f5156046aacf33a01a83dd0f09606c018,2023-07,Lincolnshire Police,Lincolnshire Police,-0.779820,53.412595,On or near Anastasia Close,E01026381,West Lindsey 004C,Unable to prosecute suspect
ca64cbd733219c93e8a8eed70aaf2f396f5a6739a5d2a8ba8d6ccdd1c1ba861d,2023-07,Lincolnshire Police,Lincolnshire Police,-0.485150,53.196482,On or near Park View Avenue,E01026189,North Kesteven 001C,Unable to prosecute suspect
1f6a7e687027a480d531e64c6ea307a1298ec3c3ff5bbdab9511560d8ba54515,2023-07,Lincolnshire Police,Lincolnshire Police,-0.485174,53.129976,On or near Parking Area,E01026211,North Kesteven 005C,Investigation complete; no suspect identified
55d647b41732744013f8c5c4a9b792ff8a6893e7c935da39171bbb6e2e62f654,2023-07,Lincolnshire Police,Lincolnshire Police,-0.784322,53.414433,On or near Supermarket,E01026408,West Lindsey 002F,Investigation complete; no suspect identified
a280423179ce86c9ae89529484340ac0faa95d3ddb0cbcb94c5d9c4ae7514b71,2023-07,Lincolnshire Police,Lincolnshire Police,-0.545521,53.252718,On or near Clarendon Gardens,E01026150,Lincoln 001B,Unable to prosecute suspect
3bd47c668c31d737487ae9df05cf704bf3c1ff876ed808d8eeb16b80ac099c14,2023-07,Lincolnshire Police,Lincolnshire Police,-0.028015,52.975928,On or near Shopping Area,E01034681,Boston 003E,Suspect charged
6612cbb579b54510b86a052347c424554495cbddaf27b5137238a134ee962148,2023-07,Lincolnshire Police,Lincolnshire Police,-0.554296,53.231169,On or near Arthur Taylor Street,E01026146,Lincoln 005D,Unable to prosecute suspect
09f84abe36f6e454cb5a3108ba1a4fc1dad61d3ab010250b28fbb7bbf0a35395,2023-07,Lincolnshire Police,Lincolnshire Police,-0.135386,52.791804,On or near Telford Court,E01026271,South Holland 007D,Unable to prosecute suspect
99e19ff768e5296c6e852ac66e6537628b81c84bbfe4e429fe46bb2e7283f2af,2023-07,Lincolnshire Police,Lincolnshire Police,-0.023139,52.975144,On or near South Square,E01026025,Boston 003C,Investigation complete; no suspect identified
b7cba34c832b8413273167e26d1c35b6620c003b9025ed5399e107d670e09733,2023-07,Lincolnshire Police,Lincolnshire Police,-0.126781,52.740394,On or near Bittern Close,E01026284,South Holland 011C,Unable to prosecute suspect
63ca08ce52924bfeaa203cecfd012ffaa9cdc3a1593db6ec45c0b21155da200d,2023-07,Lincolnshire Police,Lincolnshire Police,-0.025667,52.981434,On or near Tunnard Street,E01026036,Boston 003D,Investigation complete; no suspect identified
5deb1cde1d584a996684c4995cc3d20a0fa5fa0b14149281b71ce79d125c4b3d,2023-07,Lincolnshire Police,Lincolnshire Police,-0.660580,53.276675,On or near Read Robinson Avenue,E01034706,West Lindsey 009E,Unable to prosecute suspect
18ed09f2f242a29aa1d1a2a011516c4008e192a3667e3b656f16dea97e87e524,2023-07,Lincolnshire Police,Lincolnshire Police,-0.665683,53.309768,On or near Queensway,E01026404,West Lindsey 007B,Unable to prosecute suspect
85cb2b898c19914ed8bc6ab4df9005832bdc65a196376f9d1f289d7422a2ef76,2023-07,Lincolnshire Police,Lincolnshire Police,0.351556,53.192928,On or near Parking Area,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
27c370c105280d7dde84ad00f964a391ff9df0f393081670ca07030b67ab5658,2023-07,Lincolnshire Police,Lincolnshire Police,-0.782057,53.409597,On or near Salisbury Street,E01026381,West Lindsey 004C,Unable to prosecute suspect
4d327232e3747558e6e82b6b2b9cf36d8a0c3d748c8b2dfe8b7225d6b3fccb9c,2023-07,Lincolnshire Police,Lincolnshire Police,-0.408450,52.991149,On or near Juniper Way,E01026231,North Kesteven 010C,Unable to prosecute suspect
599f5b04a52c49761a7cce55e50dbe30d99e26013ed6ba8d9934cff6dbef47e8,2023-07,Lincolnshire Police,Lincolnshire Police,0.329242,53.141956,On or near Albert Road,E01026092,East Lindsey 014A,Unable to prosecute suspect
1a16d42951021d28693b64ad413fdc8f14dc0411f192d894a9324053ec478234,2023-07,Lincolnshire Police,Lincolnshire Police,0.329242,53.141956,On or near Albert Road,E01026092,East Lindsey 014A,Unable to prosecute suspect
5c0f8b3099959dcab9bd632b849a6970e58842308895a26e011c52944ba9539f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.578692,53.192106,On or near Harewood Crescent,E01026215,North Kesteven 014B,Investigation complete; no suspect identified
5c0f8b3099959dcab9bd632b849a6970e58842308895a26e011c52944ba9539f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.578692,53.192106,On or near Harewood Crescent,E01026215,North Kesteven 014B,Investigation complete; no suspect identified
b84b1662e6b659a1141502e1fad82a3c0170bb69fb38215c0738338779d4c6b3,2023-07,Lincolnshire Police,Lincolnshire Police,-0.019359,52.980601,On or near Parking Area,E01026025,Boston 003C,Investigation complete; no suspect identified
b84b1662e6b659a1141502e1fad82a3c0170bb69fb38215c0738338779d4c6b3,2023-07,Lincolnshire Police,Lincolnshire Police,-0.019359,52.980601,On or near Parking Area,E01026025,Boston 003C,Investigation complete; no suspect identified
bc8f72551e42c49e79aca4a54ba0e7bd404cc4389a6955640469540d3cf19c2a,2023-07,Lincolnshire Police,Lincolnshire Police,-0.141016,52.786013,On or near Exeter Drive,E01026269,South Holland 007B,Unable to prosecute suspect
bc8f72551e42c49e79aca4a54ba0e7bd404cc4389a6955640469540d3cf19c2a,2023-07,Lincolnshire Police,Lincolnshire Police,-0.141016,52.786013,On or near Exeter Drive,E01026269,South Holland 007B,Unable to prosecute suspect
63dd4de9798c8e73592901e6267813bdbdbaa622a9797d6edda4541e9be2b2c4,2023-07,Lincolnshire Police,Lincolnshire Police,-0.061204,52.930638,On or near Boothby Close,E01026020,Boston 007D,Action to be taken by another organisation
f02877abc58f0a1097549c96d2d9302058d1a7cd5d6240354f99bc88281e8f95,2023-07,Lincolnshire Police,Lincolnshire Police,-0.042475,52.985605,On or near Franklin Close,E01026010,Boston 002A,Investigation complete; no suspect identified
b09564542be655f81c359c667ab0b99e8e52ad1415784b7c96a44d76493a688a,2023-07,Lincolnshire Police,Lincolnshire Police,-0.038827,52.971097,On or near Bradford Road,E01026030,Boston 002C,Investigation complete; no suspect identified
105650e1a17704e3e5cd03d5398ed79781522064abdc1a8740a0dc63fd29c26e,2023-07,Lincolnshire Police,Lincolnshire Police,0.245692,53.124887,On or near Croft Lane,E01026056,East Lindsey 017A,Investigation complete; no suspect identified
559f3425b2a1c41c024635681de77eba33935d068c0c44e273de57f58641b8ca,2023-07,Lincolnshire Police,Lincolnshire Police,-0.557303,53.233552,On or near Petrol Station,E01026144,Lincoln 003B,Suspect charged
e00fb4de1894bc785ddf314465e8bbf647400a4e5335a61715e7e6b2097dd4c2,2023-07,Lincolnshire Police,Lincolnshire Police,-0.414229,53.004603,On or near North Road,E01026235,North Kesteven 010E,Suspect charged
3bd47c668c31d737487ae9df05cf704bf3c1ff876ed808d8eeb16b80ac099c14,2023-07,Lincolnshire Police,Lincolnshire Police,-0.028015,52.975928,On or near Shopping Area,E01034681,Boston 003E,Suspect charged
0efd17ad7ebd6b4da4f526335b286c1acfd21cb18ea463d64ab621722a64d67f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.044723,52.986964,On or near Hollydene Close,E01026010,Boston 002A,Suspect charged
f84522a50010ec0037184f194591cc18631db13660e2586736bc8e99e5fc673a,2023-07,Lincolnshire Police,Lincolnshire Police,-0.641320,52.911690,On or near Elmer Street South,E01026323,South Kesteven 004D,Suspect charged
3348cc7e0e78c902e6fe8965a362deaab7aefa5ed24ea756816e67ec769410f9,2023-07,Lincolnshire Police,Lincolnshire Police,-0.507074,53.241482,On or near Supermarket,E01026153,Lincoln 002A,Suspect charged
60013fe35625946f29a42b7c997ef8da0df07e4be9be9ab4e7016ce601ab853a,2023-07,Lincolnshire Police,Lincolnshire Police,-0.148398,52.788879,On or near Shopping Area,E01032995,South Holland 006F,Suspect charged
60013fe35625946f29a42b7c997ef8da0df07e4be9be9ab4e7016ce601ab853a,2023-07,Lincolnshire Police,Lincolnshire Police,-0.148398,52.788879,On or near Shopping Area,E01032995,South Holland 006F,Suspect charged
25ec2d488a4ae3ed3797486e38bf336da69c83fe5868afffbf3e4c8ed78edce9,2023-07,Lincolnshire Police,Lincolnshire Police,-0.157513,52.787250,On or near Glenn Avenue,E01032995,South Holland 006F,Suspect charged
cfc0d1f982adafb61183eae5c7bcb8d2fe8d2687ee8a6677c3b765197960773c,2023-07,Lincolnshire Police,Lincolnshire Police,-0.637680,52.906839,On or near London Road,E01026343,South Kesteven 006D,Suspect charged
6bec3b0931ba9aa23ad66030ffb170290e11c9343ecad1ebe1eab53ec330c314,2023-07,Lincolnshire Police,Lincolnshire Police,-0.544478,53.238844,On or near Supermarket,E01026148,Lincoln 003D,Suspect charged
2250a8110aaaddec1f257f4bb20e65de8db6d110e8bd06a11ae0ab0fc6ef84b8,2023-07,Lincolnshire Police,Lincolnshire Police,-0.532498,53.251741,On or near Woodhall Drive,E01026168,Lincoln 001D,Suspect charged
1c14b8340d1e907c3203cae13de915bcb81b8d90dfc5c98416fb740ce27425a0,2023-07,Lincolnshire Police,Lincolnshire Police,-0.641320,52.911690,On or near Elmer Street South,E01026323,South Kesteven 004D,Suspect charged
d6339fa7dcbb16b3d62cd0b305f28a9ddd6ffb962f4ac18481e784056a7bb511,2023-07,Lincolnshire Police,Lincolnshire Police,-0.548809,53.216234,On or near Henley Street,E01026134,Lincoln 006A,Suspect charged
c6da88b12a9eb4240c510300790a2d777f78e5e097a2c9d94ccb8456da2de8ad,2023-07,Lincolnshire Police,Lincolnshire Police,-0.771110,53.390617,On or near Gordon Street,E01026383,West Lindsey 004E,Suspect charged
812324a80c5be01ad528d006610ecee3db8b61eb7ba18314704b12c79e4a5256,2023-07,Lincolnshire Police,Lincolnshire Police,-0.637680,52.906839,On or near London Road,E01026343,South Kesteven 006D,Suspect charged
44b0e62e27a4f12e6ff995b17c9e68b1acd8d32fec7dece311dd2940aed6af4c,2023-07,Lincolnshire Police,Lincolnshire Police,-0.293606,52.986293,On or near Welchman Way,E01026202,North Kesteven 012C,Suspect charged
1a127d86e2caa8f943d9e0af3341637b876793aea6fe4027c5695a55e91246bb,2023-07,Lincolnshire Police,Lincolnshire Police,-0.020836,52.980239,On or near Parking Area,E01026025,Boston 003C,Unable to prosecute suspect
916fe9fccb4592d5851852db1219dc803a695d88dafc23ed5bbc5ef3bc592d4d,2023-07,Lincolnshire Police,Lincolnshire Police,0.017422,53.368739,On or near Somersby Way,E01026108,East Lindsey 003G,Unable to prosecute suspect
baecc3ece7a59dc0987bd4e7d98db6296d6896258c81f7028a3caf164729db8f,2023-07,Lincolnshire Police,Lincolnshire Police,0.140531,52.745356,On or near Church Lane,E01026254,South Holland 008A,Unable to prosecute suspect
e5bc8a34db96bd265c896b56db75e479b12063dc9bba1e74cb7f9b7385521f66,2023-07,Lincolnshire Police,Lincolnshire Police,-0.533970,53.228871,On or near Brook Street,E01026126,Lincoln 004D,Offender given a caution
9b3d28cefa1368ddb7f1f694a2f9307605c04b651fdf92b53fd2fd485bc15e1e,2023-07,Lincolnshire Police,Lincolnshire Police,0.215688,53.325251,On or near Alford Road,E01026117,East Lindsey 008E,Unable to prosecute suspect
3b3068a8645d48b62f9d257813699e47a3a5315e38a2a75d6162a7b6d07ae0a3,2023-07,Lincolnshire Police,Lincolnshire Police,-0.645561,52.902560,On or near Tilling Close,E01026319,South Kesteven 006C,Unable to prosecute suspect
f27a360263dffaec426002610fa7028752eb78f99a185c961b2ade68777a8fdd,2023-07,Lincolnshire Police,Lincolnshire Police,0.339297,53.141264,On or near Parking Area,E01026097,East Lindsey 015D,Investigation complete; no suspect identified
6473df274572c2fcec204246b4714c3e6f3ca6fdc2cd4306b1865236a1635871,2023-07,Lincolnshire Police,Lincolnshire Police,-0.376886,52.767699,On or near Shires Court,E01026298,South Kesteven 011D,Offender given a caution
d5f5308dd2b3ff1a5683f7c2f7a7230205b99d237566930e542f5fd413cf4a42,2023-07,Lincolnshire Police,Lincolnshire Police,-0.518735,53.236657,On or near Greetwell Place,E01026125,Lincoln 003A,Unable to prosecute suspect
c7c609654b2a419f74210e1380977f6ce8e528c7469eb157603eafc738d6a1ff,2023-07,Lincolnshire Police,Lincolnshire Police,-0.518735,53.236657,On or near Greetwell Place,E01026125,Lincoln 003A,Unable to prosecute suspect
98740f64ce9dc653663a6bb26bd4d29996b083427202d253b85bf98775924f42,2023-07,Lincolnshire Police,Lincolnshire Police,-0.503772,53.249783,On or near Beaufort Close,E01026155,Lincoln 002B,Unable to prosecute suspect
ca9fd290fedd411f21d59daa66c228b63b3347fbb5636a7e94ee3a0912212b73,2023-07,Lincolnshire Police,Lincolnshire Police,-0.023823,52.978113,On or near Parking Area,E01026025,Boston 003C,Unable to prosecute suspect
c10dc81cb94ebf7f9255b973bf0a381884d9ad3d84d10166efecd3ff20a8a01f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.408783,53.001932,On or near Tamer Road,E01026235,North Kesteven 010E,Unable to prosecute suspect
0f86941f50e18d59b8d3d2c648c80b788711e2f33872e835310c1256d9fb8d46,2023-07,Lincolnshire Police,Lincolnshire Police,0.341152,53.141003,On or near Arcadia Crescent,E01026093,East Lindsey 014B,Unable to prosecute suspect
7849a22687a041c449799ef34e52f37f09590b9c2723d1a0e040dc34103226e5,2023-07,Lincolnshire Police,Lincolnshire Police,-0.529203,53.247754,On or near Laughton Way,E01026165,Lincoln 002D,Investigation complete; no suspect identified
7849a22687a041c449799ef34e52f37f09590b9c2723d1a0e040dc34103226e5,2023-07,Lincolnshire Police,Lincolnshire Police,-0.529203,53.247754,On or near Laughton Way,E01026165,Lincoln 002D,Investigation complete; no suspect identified
3da6111f7e46da2563a81bd90706028150f57ddc1c69325e29ee8acb5cb30cfb,2023-07,Lincolnshire Police,Lincolnshire Police,-0.545541,53.222495,On or near Gaunt Street,E01026132,Lincoln 005A,Suspect charged
23fca8b79a7c8b7be7498c7d12d7e9d7d35cd9c029c2081b89390093e2693462,2023-07,Lincolnshire Police,Lincolnshire Police,-0.326304,53.210287,On or near West View,E01026366,West Lindsey 011A,Unable to prosecute suspect
03d004d22ead955d23827f5079a8eb39b18f949f0ff1a796eefcb54f2da20694,2023-07,Lincolnshire Police,Lincolnshire Police,0.179720,53.261550,On or near High Street,E01026042,East Lindsey 008A,Unable to prosecute suspect
5795d90fbe7cab4dcb7819b21fc816955ea1513c1b0e41ef5be565040b844b29,2023-07,Lincolnshire Police,Lincolnshire Police,-0.519635,53.233575,On or near Hospital,E01026125,Lincoln 003A,Unable to prosecute suspect
